timestamp,user_id,status
2026-05-18 17:22,A101,SUCCESS
2026-05-18 17:22,U101,SUCCESS
2026-05-18 17:22,A101,FAILED
2026-05-18 17:23,A001,SUCCESS
2026-05-18 17:23,M001,SUCCESS
2026-05-18 17:24,A001,SUCCESS
2026-05-18 17:25,M001,SUCCESS
2026-05-18 17:25,R003,SUCCESS
2026-05-18 17:26,R002,SUCCESS
2026-05-18 17:26,R002,FAILED
2026-05-18 17:26,R003,FAILED
2026-05-18 17:26,R003,SUCCESS
2026-05-18 17:26,R001,SUCCESS
2026-05-18 17:28,R003,SUCCESS
2026-05-18 17:28,A001,SUCCESS
2026-05-18 17:28,M001,SUCCESS
2026-05-18 17:28,U001,FAILED
2026-05-18 17:28,U002,FAILED
2026-05-18 17:28,R003,FAILED
2026-05-18 17:28,R003,SUCCESS
2026-05-18 17:31,R003,FAILED
2026-05-18 17:31,R003,SUCCESS
2026-05-18 17:33,R003,SUCCESS
2026-05-18 17:33,A001,SUCCESS
2026-05-18 17:51,R003,SUCCESS
2026-05-18 17:51,A001,SUCCESS
2026-05-18 17:53,A001,SUCCESS
2026-05-18 17:57,A001,SUCCESS
2026-05-18 18:09,A001,SUCCESS
2026-05-18 18:14,A001,SUCCESS
2026-05-18 18:16,A001,SUCCESS
2026-05-18 18:18,A001,SUCCESS
2026-05-18 18:26,A001,FAILED
2026-05-18 18:26,A001,SUCCESS
2026-05-18 18:27,R002,SUCCESS
2026-05-18 18:28,A001,SUCCESS
2026-05-18 19:00,A001,SUCCESS
2026-05-18 19:08,A001,SUCCESS
2026-05-18 19:24,A001,SUCCESS
2026-05-18 19:25,R003,SUCCESS
2026-05-18 19:28,A001,SUCCESS
2026-05-18 19:31,zA001,FAILED
2026-05-18 19:31,A001,SUCCESS
2026-05-18 19:35,A001,SUCCESS
2026-05-18 19:40,A001,SUCCESS
2026-05-18 19:41,A001,SUCCESS
2026-05-18 19:47,A001,SUCCESS
2026-05-18 19:49,A001,FAILED
2026-05-18 19:49,A001,SUCCESS
2026-05-18 19:54,A001,SUCCESS
2026-05-18 19:58,A001,SUCCESS
2026-05-18 20:01,A001,SUCCESS
2026-05-18 20:05,A001,SUCCESS
2026-05-18 20:08,A001,SUCCESS
2026-05-18 20:57,A001,SUCCESS
2026-05-18 21:01,admin,FAILED
2026-05-18 21:01,a001,FAILED
2026-05-18 21:01,A001,SUCCESS
2026-05-18 21:48,A001,SUCCESS
2026-05-18 22:02,A001,SUCCESS
2026-05-19 00:06,A001,FAILED
2026-05-19 00:06,A001,SUCCESS
2026-05-19 00:15,A001,SUCCESS
2026-05-19 00:44,A001,SUCCESS
2026-05-19 00:54,A001,SUCCESS
2026-05-21 14:33,A001,SUCCESS
2026-05-21 14:38,A001,SUCCESS
2026-05-21 15:01,A001,SUCCESS
2026-05-21 19:40,A001,SUCCESS
2026-05-21 19:41,R001,SUCCESS
2026-05-21 19:43,M001,SUCCESS
2026-05-21 19:43,U101,SUCCESS
2026-05-21 22:54,R003,SUCCESS
2026-05-21 22:55,A001,SUCCESS
2026-05-21 23:00,R003,SUCCESS
2026-05-21 23:03,R003,SUCCESS
2026-05-21 23:05,A001,SUCCESS
2026-05-21 23:18,R003,SUCCESS
2026-05-21 23:19,A001,SUCCESS
2026-05-21 23:23,R003,SUCCESS
2026-05-21 23:23,A001,SUCCESS
2026-05-21 23:30,R003,SUCCESS
2026-05-21 23:30,A001,SUCCESS
2026-05-21 23:34,R003,SUCCESS
2026-05-21 23:34,A001,SUCCESS
2026-05-21 23:38,R003,SUCCESS
2026-05-21 23:38,A001,SUCCESS
2026-05-21 23:41,A001,SUCCESS
2026-05-21 23:44,A001,SUCCESS
2026-05-21 23:52,R003,SUCCESS
2026-05-21 23:53,A001,SUCCESS
2026-05-21 23:54,R003,SUCCESS
2026-05-21 23:55,A001,SUCCESS
2026-05-22 00:00,R003,SUCCESS
2026-05-22 00:08,R003,SUCCESS
2026-05-22 00:10,R003,SUCCESS
2026-05-22 00:11,R003,SUCCESS
2026-05-22 00:18,R003,SUCCESS
2026-05-22 00:20,R003,SUCCESS
2026-05-22 00:20,A001,SUCCESS
