input_id,user_id,category,quantity,contamination,penalty,timestamp
EVT-6C615EF1,SimUser,Biodegradable,33.2,0.0,0.0,2026-05-21 15:01:31
EVT-79DDF838,SimUser,Recyclable,39.5,0.0,0.0,2026-05-21 15:01:31
EVT-3BAEE132,SimUser,Hazardous,38.63,0.0,0.0,2026-05-21 15:01:31
EVT-FBAC2999,SimUser,Hazardous,16.62,0.0,0.0,2026-05-21 15:01:31
EVT-D85769BB,SimUser,Biodegradable,38.32,0.0,0.0,2026-05-21 15:01:31
EVT-FCF8DBED,SimUser,Recyclable,16.03,0.0,0.0,2026-05-21 15:01:31
EVT-811AE02E,SimUser,Electronic,30.76,0.0,0.0,2026-05-21 15:01:31
EVT-921D96EB,SimUser,Biodegradable,28.53,0.0,0.0,2026-05-21 15:01:31
EVT-673F69CB,SimUser,Hazardous,23.83,1.01983085653412,18.356955417614163,2026-05-21 15:01:31
EVT-50F079E6,SimUser,Biodegradable,21.18,0.0,0.0,2026-05-21 15:01:31
EVT-6EE3E27A,SimUser,Recyclable,14.59,0.290728397849067,0.872185193547201,2026-05-21 15:01:31
EVT-82DCB1AA,SimUser,Electronic,25.37,0.0,0.0,2026-05-21 15:01:31
EVT-FBBDAE7F,SimUser,Biodegradable,37.03,0.0,0.0,2026-05-21 15:01:31
EVT-FA5D65CB,SimUser,Biodegradable,29.42,1.101863000136307,2.203726000272614,2026-05-21 15:01:32
EVT-0C9C47E5,SimUser,Recyclable,25.18,0.867663567873639,2.602990703620917,2026-05-21 15:01:32
EVT-34C51D3A,SimUser,Hazardous,30.45,0.0,0.0,2026-05-21 15:01:32
EVT-6A6D3275,SimUser,Recyclable,20.27,0.0,0.0,2026-05-21 15:01:32
EVT-5729A584,SimUser,Electronic,14.43,0.4496298796106864,0.4496298796106864,2026-05-21 15:01:32
EVT-29024415,SimUser,Biodegradable,13.9,0.0,0.0,2026-05-21 15:01:32
EVT-E9202A5D,SimUser,Electronic,35.96,0.0,0.0,2026-05-21 15:01:32
